,no_nickel,topology,no_corners_comb,no_edges_comb,all_comb,all_corners_comb,all_edges_comb,c_atom
10,3,"['Cu', 'Ni', 'Ni', 'Ni', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu']",4,7,50,"[[1, 2, 3, 'Ni'], [4, 2, 3, 'Cu'], [5, 1, 4, 'Cu'], [10, 0, 5, 'Cu']]","[[[1, 2, 3, 'Ni'], [2, 2, 3, 'Ni']], [[1, 2, 3, 'Ni'], [4, 2, 3, 'Cu']], [[1, 2, 3, 'Ni'], [5, 1, 4, 'Cu']], [[4, 2, 3, 'Cu'], [5, 1, 4, 'Cu']], [[4, 2, 3, 'Cu'], [10, 0, 5, 'Cu']], [[5, 1, 4, 'Cu'], [10, 0, 5, 'Cu']], [[10, 0, 5, 'Cu'], [11, 0, 5, 'Cu']]]",0
11,3,"['Cu', 'Ni', 'Ni', 'Cu', 'Ni', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu']",6,13,80,"[[1, 2.1, 3, 'Ni'], [2, 1, 4, 'Ni'], [3, 3, 2, 'Cu'], [5, 2, 3, 'Cu'], [7, 1, 4, 'Cu'], [11, 0, 5, 'Cu']]","[[[1, 2.1, 3, 'Ni'], [2, 1, 4, 'Ni']], [[1, 2.1, 3, 'Ni'], [3, 3, 2, 'Cu']], [[1, 2.1, 3, 'Ni'], [5, 2, 3, 'Cu']], [[2, 1, 4, 'Ni'], [7, 1, 4, 'Cu']], [[2, 1, 4, 'Ni'], [6, 2, 3, 'Cu']], [[2, 1, 4, 'Ni'], [3, 3, 2, 'Cu']], [[3, 3, 2, 'Cu'], [8, 1, 4, 'Cu']], [[5, 2, 3, 'Cu'], [6, 2, 3, 'Cu']], [[5, 2, 3, 'Cu'], [10, 1, 4, 'Cu']], [[5, 2, 3, 'Cu'], [11, 0, 5, 'Cu']], [[7, 1, 4, 'Cu'], [8, 1, 4, 'Cu']], [[7, 1, 4, 'Cu'], [11, 0, 5, 'Cu']], [[11, 0, 5, 'Cu'], [12, 0, 5, 'Cu']]]",0
12,3,"['Cu', 'Ni', 'Ni', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Ni', 'Cu', 'Cu', 'Cu']",7,14,91,"[[1, 1, 4, 'Ni'], [3, 3.1, 2, 'Cu'], [4, 2.1, 3, 'Cu'], [5, 1, 4, 'Cu'], [6, 2, 3, 'Cu'], [9, 0, 5, 'Ni'], [11, 0, 5, 'Cu']]","[[[1, 1, 4, 'Ni'], [2, 1, 4, 'Ni']], [[1, 1, 4, 'Ni'], [3, 3.1, 2, 'Cu']], [[1, 1, 4, 'Ni'], [4, 2.1, 3, 'Cu']], [[1, 1, 4, 'Ni'], [5, 1, 4, 'Cu']], [[1, 1, 4, 'Ni'], [6, 2, 3, 'Cu']], [[3, 3.1, 2, 'Cu'], [4, 2.1, 3, 'Cu']], [[3, 3.1, 2, 'Cu'], [9, 0, 5, 'Ni']], [[4, 2.1, 3, 'Cu'], [5, 1, 4, 'Cu']], [[4, 2.1, 3, 'Cu'], [9, 0, 5, 'Ni']], [[5, 1, 4, 'Cu'], [6, 2, 3, 'Cu']], [[5, 1, 4, 'Cu'], [10, 1, 4, 'Cu']], [[5, 1, 4, 'Cu'], [11, 0, 5, 'Cu']], [[6, 2, 3, 'Cu'], [11, 0, 5, 'Cu']], [[9, 0, 5, 'Ni'], [10, 1, 4, 'Cu']]]",0
13,3,"['Cu', 'Ni', 'Ni', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Ni', 'Cu', 'Cu']",5,11,67,"[[1, 1, 4, 'Ni'], [3, 2, 3, 'Cu'], [4, 2.1, 3, 'Cu'], [7, 1, 4, 'Cu'], [10, 0, 5, 'Ni']]","[[[1, 1, 4, 'Ni'], [2, 1, 4, 'Ni']], [[1, 1, 4, 'Ni'], [3, 2, 3, 'Cu']], [[1, 1, 4, 'Ni'], [4, 2.1, 3, 'Cu']], [[2, 1, 4, 'Ni'], [7, 1, 4, 'Cu']], [[3, 2, 3, 'Cu'], [4, 2.1, 3, 'Cu']], [[3, 2, 3, 'Cu'], [8, 1, 4, 'Cu']], [[4, 2.1, 3, 'Cu'], [5, 2.1, 3, 'Cu']], [[4, 2.1, 3, 'Cu'], [9, 1, 4, 'Cu']], [[4, 2.1, 3, 'Cu'], [10, 0, 5, 'Ni']], [[7, 1, 4, 'Cu'], [8, 1, 4, 'Cu']], [[9, 1, 4, 'Cu'], [10, 0, 5, 'Ni']]]",0
14,3,"['Cu', 'Ni', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Ni', 'Cu', 'Ni', 'Cu', 'Cu', 'Cu']",3,5,37,"[[1, 0, 5, 'Ni'], [2, 2.1, 3, 'Cu'], [5, 1, 4, 'Cu']]","[[[1, 0, 5, 'Ni'], [2, 2.1, 3, 'Cu']], [[1, 0, 5, 'Ni'], [5, 1, 4, 'Cu']], [[2, 2.1, 3, 'Cu'], [6, 2.1, 3, 'Cu']], [[4, 2.1, 3, 'Cu'], [5, 1, 4, 'Cu']], [[5, 1, 4, 'Cu'], [10, 1, 4, 'Cu']]]",0
15,4,"['Ni', 'Ni', 'Ni', 'Ni', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu']",4,7,50,"[[1, 2, 3, 'Ni'], [4, 2, 3, 'Cu'], [5, 1, 4, 'Cu'], [10, 0, 5, 'Cu']]","[[[1, 2, 3, 'Ni'], [2, 2, 3, 'Ni']], [[1, 2, 3, 'Ni'], [4, 2, 3, 'Cu']], [[1, 2, 3, 'Ni'], [5, 1, 4, 'Cu']], [[4, 2, 3, 'Cu'], [5, 1, 4, 'Cu']], [[4, 2, 3, 'Cu'], [10, 0, 5, 'Cu']], [[5, 1, 4, 'Cu'], [10, 0, 5, 'Cu']], [[10, 0, 5, 'Cu'], [11, 0, 5, 'Cu']]]",1
16,4,"['Ni', 'Ni', 'Ni', 'Cu', 'Ni', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu']",6,13,80,"[[1, 2.1, 3, 'Ni'], [2, 1, 4, 'Ni'], [3, 3, 2, 'Cu'], [5, 2, 3, 'Cu'], [7, 1, 4, 'Cu'], [11, 0, 5, 'Cu']]","[[[1, 2.1, 3, 'Ni'], [2, 1, 4, 'Ni']], [[1, 2.1, 3, 'Ni'], [3, 3, 2, 'Cu']], [[1, 2.1, 3, 'Ni'], [5, 2, 3, 'Cu']], [[2, 1, 4, 'Ni'], [7, 1, 4, 'Cu']], [[2, 1, 4, 'Ni'], [6, 2, 3, 'Cu']], [[2, 1, 4, 'Ni'], [3, 3, 2, 'Cu']], [[3, 3, 2, 'Cu'], [8, 1, 4, 'Cu']], [[5, 2, 3, 'Cu'], [6, 2, 3, 'Cu']], [[5, 2, 3, 'Cu'], [10, 1, 4, 'Cu']], [[5, 2, 3, 'Cu'], [11, 0, 5, 'Cu']], [[7, 1, 4, 'Cu'], [8, 1, 4, 'Cu']], [[7, 1, 4, 'Cu'], [11, 0, 5, 'Cu']], [[11, 0, 5, 'Cu'], [12, 0, 5, 'Cu']]]",1
17,4,"['Ni', 'Ni', 'Ni', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Ni', 'Cu', 'Cu', 'Cu']",7,14,91,"[[1, 1, 4, 'Ni'], [3, 3.1, 2, 'Cu'], [4, 2.1, 3, 'Cu'], [5, 1, 4, 'Cu'], [6, 2, 3, 'Cu'], [9, 0, 5, 'Ni'], [11, 0, 5, 'Cu']]","[[[1, 1, 4, 'Ni'], [2, 1, 4, 'Ni']], [[1, 1, 4, 'Ni'], [3, 3.1, 2, 'Cu']], [[1, 1, 4, 'Ni'], [4, 2.1, 3, 'Cu']], [[1, 1, 4, 'Ni'], [5, 1, 4, 'Cu']], [[1, 1, 4, 'Ni'], [6, 2, 3, 'Cu']], [[3, 3.1, 2, 'Cu'], [4, 2.1, 3, 'Cu']], [[3, 3.1, 2, 'Cu'], [9, 0, 5, 'Ni']], [[4, 2.1, 3, 'Cu'], [5, 1, 4, 'Cu']], [[4, 2.1, 3, 'Cu'], [9, 0, 5, 'Ni']], [[5, 1, 4, 'Cu'], [6, 2, 3, 'Cu']], [[5, 1, 4, 'Cu'], [10, 1, 4, 'Cu']], [[5, 1, 4, 'Cu'], [11, 0, 5, 'Cu']], [[6, 2, 3, 'Cu'], [11, 0, 5, 'Cu']], [[9, 0, 5, 'Ni'], [10, 1, 4, 'Cu']]]",1
18,4,"['Ni', 'Ni', 'Ni', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Ni', 'Cu', 'Cu']",5,11,67,"[[1, 1, 4, 'Ni'], [3, 2, 3, 'Cu'], [4, 2.1, 3, 'Cu'], [7, 1, 4, 'Cu'], [10, 0, 5, 'Ni']]","[[[1, 1, 4, 'Ni'], [2, 1, 4, 'Ni']], [[1, 1, 4, 'Ni'], [3, 2, 3, 'Cu']], [[1, 1, 4, 'Ni'], [4, 2.1, 3, 'Cu']], [[2, 1, 4, 'Ni'], [7, 1, 4, 'Cu']], [[3, 2, 3, 'Cu'], [4, 2.1, 3, 'Cu']], [[3, 2, 3, 'Cu'], [8, 1, 4, 'Cu']], [[4, 2.1, 3, 'Cu'], [5, 2.1, 3, 'Cu']], [[4, 2.1, 3, 'Cu'], [9, 1, 4, 'Cu']], [[4, 2.1, 3, 'Cu'], [10, 0, 5, 'Ni']], [[7, 1, 4, 'Cu'], [8, 1, 4, 'Cu']], [[9, 1, 4, 'Cu'], [10, 0, 5, 'Ni']]]",1
19,4,"['Ni', 'Ni', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Ni', 'Cu', 'Ni', 'Cu', 'Cu', 'Cu']",3,5,37,"[[1, 0, 5, 'Ni'], [2, 2.1, 3, 'Cu'], [5, 1, 4, 'Cu']]","[[[1, 0, 5, 'Ni'], [2, 2.1, 3, 'Cu']], [[1, 0, 5, 'Ni'], [5, 1, 4, 'Cu']], [[2, 2.1, 3, 'Cu'], [6, 2.1, 3, 'Cu']], [[4, 2.1, 3, 'Cu'], [5, 1, 4, 'Cu']], [[5, 1, 4, 'Cu'], [10, 1, 4, 'Cu']]]",1
20,4,"['Cu', 'Ni', 'Ni', 'Ni', 'Ni', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu']",5,10,65,"[[1, 3, 2, 'Ni'], [2, 2, 3, 'Ni'], [5, 2, 3, 'Cu'], [7, 1, 4, 'Cu'], [11, 0, 5, 'Cu']]","[[[1, 3, 2, 'Ni'], [2, 2, 3, 'Ni']], [[1, 3, 2, 'Ni'], [3, 3, 2, 'Ni']], [[1, 3, 2, 'Ni'], [5, 2, 3, 'Cu']], [[2, 2, 3, 'Ni'], [7, 1, 4, 'Cu']], [[2, 2, 3, 'Ni'], [6, 2, 3, 'Cu']], [[5, 2, 3, 'Cu'], [6, 2, 3, 'Cu']], [[5, 2, 3, 'Cu'], [10, 1, 4, 'Cu']], [[5, 2, 3, 'Cu'], [11, 0, 5, 'Cu']], [[7, 1, 4, 'Cu'], [11, 0, 5, 'Cu']], [[11, 0, 5, 'Cu'], [12, 0, 5, 'Cu']]]",0
21,4,"['Cu', 'Ni', 'Ni', 'Ni', 'Cu', 'Ni', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu']",7,14,91,"[[1, 3.1, 2, 'Ni'], [2, 2, 3, 'Ni'], [4, 3, 2, 'Cu'], [5, 1, 4, 'Ni'], [7, 1, 4, 'Cu'], [8, 2, 3, 'Cu'], [12, 0, 5, 'Cu']]","[[[1, 3.1, 2, 'Ni'], [2, 2, 3, 'Ni']], [[1, 3.1, 2, 'Ni'], [4, 3, 2, 'Cu']], [[1, 3.1, 2, 'Ni'], [5, 1, 4, 'Ni']], [[2, 2, 3, 'Ni'], [7, 1, 4, 'Cu']], [[2, 2, 3, 'Ni'], [6, 3, 2, 'Cu']], [[2, 2, 3, 'Ni'], [3, 2, 3, 'Ni']], [[2, 2, 3, 'Ni'], [8, 2, 3, 'Cu']], [[4, 3, 2, 'Cu'], [5, 1, 4, 'Ni']], [[4, 3, 2, 'Cu'], [9, 1, 4, 'Cu']], [[5, 1, 4, 'Ni'], [10, 1, 4, 'Cu']], [[7, 1, 4, 'Cu'], [8, 2, 3, 'Cu']], [[7, 1, 4, 'Cu'], [11, 1, 4, 'Cu']], [[7, 1, 4, 'Cu'], [12, 0, 5, 'Cu']], [[8, 2, 3, 'Cu'], [12, 0, 5, 'Cu']]]",0
22,4,"['Cu', 'Ni', 'Ni', 'Ni', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Ni', 'Cu', 'Cu']",6,13,80,"[[1, 2, 3, 'Ni'], [4, 3.1, 2, 'Cu'], [5, 2.1, 3, 'Cu'], [6, 2, 3, 'Cu'], [7, 1, 4, 'Cu'], [10, 0, 5, 'Ni']]","[[[1, 2, 3, 'Ni'], [2, 2, 3, 'Ni']], [[1, 2, 3, 'Ni'], [4, 3.1, 2, 'Cu']], [[1, 2, 3, 'Ni'], [5, 2.1, 3, 'Cu']], [[1, 2, 3, 'Ni'], [6, 2, 3, 'Cu']], [[2, 2, 3, 'Ni'], [7, 1, 4, 'Cu']], [[4, 3.1, 2, 'Cu'], [5, 2.1, 3, 'Cu']], [[4, 3.1, 2, 'Cu'], [10, 0, 5, 'Ni']], [[5, 2.1, 3, 'Cu'], [6, 2, 3, 'Cu']], [[5, 2.1, 3, 'Cu'], [10, 0, 5, 'Ni']], [[5, 2.1, 3, 'Cu'], [11, 1, 4, 'Cu']], [[6, 2, 3, 'Cu'], [7, 1, 4, 'Cu']], [[7, 1, 4, 'Cu'], [11, 1, 4, 'Cu']], [[10, 0, 5, 'Ni'], [11, 1, 4, 'Cu']]]",0
23,4,"['Cu', 'Ni', 'Ni', 'Cu', 'Ni', 'Cu', 'Cu', 'Ni', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu']",5,11,67,"[[1, 2.1, 3, 'Ni'], [3, 3, 2, 'Cu'], [4, 1, 4, 'Ni'], [5, 2, 3, 'Cu'], [9, 1, 4, 'Cu']]","[[[1, 2.1, 3, 'Ni'], [2, 2.1, 3, 'Ni']], [[1, 2.1, 3, 'Ni'], [3, 3, 2, 'Cu']], [[1, 2.1, 3, 'Ni'], [4, 1, 4, 'Ni']], [[1, 2.1, 3, 'Ni'], [5, 2, 3, 'Cu']], [[3, 3, 2, 'Cu'], [4, 1, 4, 'Ni']], [[3, 3, 2, 'Cu'], [8, 2, 3, 'Cu']], [[3, 3, 2, 'Cu'], [9, 1, 4, 'Cu']], [[4, 1, 4, 'Ni'], [5, 2, 3, 'Cu']], [[4, 1, 4, 'Ni'], [9, 1, 4, 'Cu']], [[5, 2, 3, 'Cu'], [10, 1, 4, 'Cu']], [[9, 1, 4, 'Cu'], [10, 1, 4, 'Cu']]]",0
24,4,"['Cu', 'Ni', 'Ni', 'Cu', 'Ni', 'Cu', 'Cu', 'Cu', 'Ni', 'Cu', 'Cu', 'Cu', 'Cu']",7,15,93,"[[1, 2.1, 3, 'Ni'], [3, 4, 1, 'Cu'], [4, 1, 4, 'Ni'], [5, 2, 3, 'Cu'], [9, 2.1, 3, 'Cu'], [10, 1, 4, 'Cu'], [11, 0, 5, 'Cu']]","[[[1, 2.1, 3, 'Ni'], [2, 2.1, 3, 'Ni']], [[1, 2.1, 3, 'Ni'], [3, 4, 1, 'Cu']], [[1, 2.1, 3, 'Ni'], [4, 1, 4, 'Ni']], [[1, 2.1, 3, 'Ni'], [5, 2, 3, 'Cu']], [[3, 4, 1, 'Cu'], [4, 1, 4, 'Ni']], [[3, 4, 1, 'Cu'], [9, 2.1, 3, 'Cu']], [[4, 1, 4, 'Ni'], [5, 2, 3, 'Cu']], [[4, 1, 4, 'Ni'], [9, 2.1, 3, 'Cu']], [[4, 1, 4, 'Ni'], [10, 1, 4, 'Cu']], [[5, 2, 3, 'Cu'], [6, 2, 3, 'Cu']], [[5, 2, 3, 'Cu'], [10, 1, 4, 'Cu']], [[5, 2, 3, 'Cu'], [11, 0, 5, 'Cu']], [[9, 2.1, 3, 'Cu'], [10, 1, 4, 'Cu']], [[10, 1, 4, 'Cu'], [11, 0, 5, 'Cu']], [[10, 1, 4, 'Cu'], [12, 1, 4, 'Cu']]]",0
25,4,"['Cu', 'Ni', 'Ni', 'Cu', 'Ni', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Ni', 'Cu', 'Cu']",5,11,67,"[[1, 2.1, 3, 'Ni'], [2, 1, 4, 'Ni'], [3, 3, 2, 'Cu'], [6, 2, 3, 'Cu'], [7, 1, 4, 'Cu']]","[[[1, 2.1, 3, 'Ni'], [2, 1, 4, 'Ni']], [[1, 2.1, 3, 'Ni'], [3, 3, 2, 'Cu']], [[1, 2.1, 3, 'Ni'], [4, 2.1, 3, 'Ni']], [[1, 2.1, 3, 'Ni'], [6, 2, 3, 'Cu']], [[2, 1, 4, 'Ni'], [7, 1, 4, 'Cu']], [[2, 1, 4, 'Ni'], [6, 2, 3, 'Cu']], [[2, 1, 4, 'Ni'], [3, 3, 2, 'Cu']], [[3, 3, 2, 'Cu'], [8, 1, 4, 'Cu']], [[3, 3, 2, 'Cu'], [9, 2, 3, 'Cu']], [[6, 2, 3, 'Cu'], [7, 1, 4, 'Cu']], [[7, 1, 4, 'Cu'], [8, 1, 4, 'Cu']]]",0
26,4,"['Cu', 'Ni', 'Ni', 'Cu', 'Ni', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Ni', 'Cu']",7,15,93,"[[1, 2.1, 3, 'Ni'], [2, 1, 4, 'Ni'], [3, 3, 2, 'Cu'], [5, 3.1, 2, 'Cu'], [7, 2.1, 3, 'Cu'], [8, 1, 4, 'Cu'], [11, 0, 5, 'Ni']]","[[[1, 2.1, 3, 'Ni'], [2, 1, 4, 'Ni']], [[1, 2.1, 3, 'Ni'], [3, 3, 2, 'Cu']], [[1, 2.1, 3, 'Ni'], [5, 3.1, 2, 'Cu']], [[2, 1, 4, 'Ni'], [7, 2.1, 3, 'Cu']], [[2, 1, 4, 'Ni'], [6, 3.1, 2, 'Cu']], [[2, 1, 4, 'Ni'], [3, 3, 2, 'Cu']], [[2, 1, 4, 'Ni'], [8, 1, 4, 'Cu']], [[3, 3, 2, 'Cu'], [8, 1, 4, 'Cu']], [[5, 3.1, 2, 'Cu'], [6, 3.1, 2, 'Cu']], [[5, 3.1, 2, 'Cu'], [10, 2.1, 3, 'Cu']], [[5, 3.1, 2, 'Cu'], [11, 0, 5, 'Ni']], [[7, 2.1, 3, 'Cu'], [8, 1, 4, 'Cu']], [[7, 2.1, 3, 'Cu'], [11, 0, 5, 'Ni']], [[8, 1, 4, 'Cu'], [9, 1, 4, 'Cu']], [[11, 0, 5, 'Ni'], [12, 1, 4, 'Cu']]]",0
27,4,"['Cu', 'Ni', 'Ni', 'Cu', 'Ni', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Ni']",7,14,91,"[[1, 2.1, 3, 'Ni'], [2, 1, 4, 'Ni'], [3, 3, 2, 'Cu'], [5, 2, 3, 'Cu'], [7, 2.1, 3, 'Cu'], [11, 1, 4, 'Cu'], [12, 0, 5, 'Ni']]","[[[1, 2.1, 3, 'Ni'], [2, 1, 4, 'Ni']], [[1, 2.1, 3, 'Ni'], [3, 3, 2, 'Cu']], [[1, 2.1, 3, 'Ni'], [5, 2, 3, 'Cu']], [[2, 1, 4, 'Ni'], [7, 2.1, 3, 'Cu']], [[2, 1, 4, 'Ni'], [6, 2, 3, 'Cu']], [[2, 1, 4, 'Ni'], [3, 3, 2, 'Cu']], [[3, 3, 2, 'Cu'], [8, 2.1, 3, 'Cu']], [[5, 2, 3, 'Cu'], [6, 2, 3, 'Cu']], [[5, 2, 3, 'Cu'], [10, 2.1, 3, 'Cu']], [[5, 2, 3, 'Cu'], [11, 1, 4, 'Cu']], [[7, 2.1, 3, 'Cu'], [8, 2.1, 3, 'Cu']], [[7, 2.1, 3, 'Cu'], [11, 1, 4, 'Cu']], [[7, 2.1, 3, 'Cu'], [12, 0, 5, 'Ni']], [[11, 1, 4, 'Cu'], [12, 0, 5, 'Ni']]]",0
28,4,"['Cu', 'Ni', 'Ni', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Ni', 'Ni', 'Cu', 'Cu']",5,11,67,"[[1, 1, 4, 'Ni'], [3, 3.1, 2, 'Cu'], [5, 2.1, 3, 'Cu'], [6, 2, 3, 'Cu'], [7, 1, 4, 'Cu']]","[[[1, 1, 4, 'Ni'], [2, 1, 4, 'Ni']], [[1, 1, 4, 'Ni'], [3, 3.1, 2, 'Cu']], [[1, 1, 4, 'Ni'], [5, 2.1, 3, 'Cu']], [[1, 1, 4, 'Ni'], [6, 2, 3, 'Cu']], [[2, 1, 4, 'Ni'], [7, 1, 4, 'Cu']], [[3, 3.1, 2, 'Cu'], [4, 3.1, 2, 'Cu']], [[3, 3.1, 2, 'Cu'], [8, 2.1, 3, 'Cu']], [[5, 2.1, 3, 'Cu'], [6, 2, 3, 'Cu']], [[5, 2.1, 3, 'Cu'], [11, 1, 4, 'Cu']], [[6, 2, 3, 'Cu'], [7, 1, 4, 'Cu']], [[7, 1, 4, 'Cu'], [11, 1, 4, 'Cu']]]",0
